Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Fiji,9308.956,9574.995,8027.728,8717.398,11433.929,9695.102,10524.99,10062.741,7890.7285,6803.4795,9167.494,7085.0757,7121.2935,7502.866,7886.4253,8231.743,8094.5083,8787.309,9316.589,9417.632,9030.606,9222.848,9222.848
Finland,69377,70719.58,70908.92,75758.37,75218.67,68155.33,72824.555,72265.94,69352.664,63925.77,69228.28,64942.777,62886.45,62843.996,60391.24,60022.977,60795.297,59405.816,60528.164,59219.418,56636.78,57765.715,58966.16
France,52966.594,53298.86,52433.27,52657.883,52754.13,52097.117,51332.477,50095.92,49932.984,46864.53,48006.33,45914.77,45681.15,45921.207,43808.914,43929.527,43053.95,42633.387,43334.203,42326.785,38063.406,40464.465,36051.793
French Polynesia,14203.022,15333.027,16036.279,17084.979,16731.654,17172.723,16746.74,17536.959,17700.125,17486.457,18082.105,16923.406,16239.225,15941.214,15747.379,16278.416,16079.959,15560.707,15735.306,15742.186,14898.559,15242.301,15242.301
Gabon,9016.453,9478.856,9233.193,8742.1875,8665.52,9015.141,8974.716,8646.734,8547.841,8182.456,9214.65,9102.298,11006.094,10740.267,10845.483,10108.493,9740.699,10052.3955,8795.324,7427.6616,8367.068,8009.644,8009.644
Gambia,880.39734,931.84937,901.8342,876.4806,898.55994,881.66327,929.5181,934.9129,941.5169,980.54083,1036.8582,1056.7408,998.79663,964.19214,1034.7433,1028.8588,1008.46924,998.2301,978.7463,972.6679,905.3456,931.2733,931.2733
Georgia,9423.704,8959.572,10776.443,9694.849,10085.432,11553.322,10517.187,13246.12,13342.63,13652.776,14789.647,13820.907,14376.836,16267.887,17044.346,18088.293,19119.283,19005.781,19383.402,19659.346,18696.85,20834.768,20834.768
Germany,48903.7,49841.387,49257.79,49300.902,49342.406,48793.566,50043.03,47958.13,48445.984,45436.277,47305.82,45571.504,46132.67,47361.547,45327.562,46066.887,46675.777,47112.9,45781.406,44467.746,41377.68,42555.06,40977.492
Ghana,2116.77,2073.1177,1846.1882,1645.2809,1892.3693,1893.7173,1794.2775,1649.7666,1899.8279,2130.4485,2141.837,2627.7834,2631.042,2698.5383,2673.1282,2847.0212,2814.9978,2757.9565,3112.291,3135.595,3484.1567,3483.3625,3483.3625
Greece,33796.73,33961.258,33917.586,35850.453,35828.086,35956.984,37034.242,37808.297,37168.062,35855.25,34298.055,33738.633,31860.057,30079.553,28344.934,28845.504,28556.062,30131.885,30475.123,29966.309,26343.523,28961.367,30410.344
