Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Colombia,314.18433,316.8647,316.93613,322.86337,339.53064,334.3015,385.98672,392.2712,408.47995,403.78226,424.601,443.7966,471.93307,485.0396,510.58585,483.40317,544.61725,549.7021,558.41876,563.1924,512.58594,574.2987,609.3437
Comoros,0.43837464,0.4575549,0.46044254,0.58846456,0.6460338,0.62053835,0.7221934,0.47722846,0.48649588,0.5933343,0.70470726,0.63307655,0.65812624,0.78530526,0.7014616,0.75678515,0.8873186,1.1367831,1.2369027,1.3334004,1.2721838,1.342369,1.342369
Congo,3.847001,4.722345,4.370236,4.997155,5.300842,7.1656,8.544958,10.514693,11.968252,14.525248,19.793043,23.77725,24.388788,30.831583,29.33179,29.581387,28.268084,21.170794,19.616518,16.009293,13.568663,13.7025585,13.7025585
Costa Rica,42.57457,43.341686,45.11992,46.03843,47.468872,49.338017,51.487255,54.406677,55.110283,53.60737,54.480923,54.76961,55.291924,55.670418,56.80869,59.283073,60.83589,63.17111,64.53538,66.162155,58.84567,61.628967,61.628967
C?te d'Ivoire,36.75879,36.417774,35.39801,31.913124,34.138916,37.920692,32.368206,34.64952,38.11694,37.210735,38.05664,35.414494,43.206425,47.847446,50.55052,50.25,57.062553,56.87046,57.004215,61.711365,61.19384,65.13984,65.13984
Croatia,96.54981,101.515945,101.62211,106.3196,110.54107,109.284904,107.94981,108.45485,107.86448,106.488785,108.26423,94.44827,87.5947,96.073,96.00874,91.01988,94.73056,94.7834,98.16044,95.81319,91.37846,98.31208,94.58519
Cuba,109.76964,101.090324,102.29986,103.83843,105.13595,103.454636,100.83606,101.84165,116.49852,117.37301,133.37254,119.80139,130.39006,125.37503,127.56847,127.91406,99.81311,106.08925,111.2338,108.710625,101.7874,103.89113,103.89113
Cyprus,30.261103,30.609652,30.185936,32.0883,31.228363,34.992786,34.41193,34.986603,35.85529,35.003563,34.056034,33.72514,31.604967,28.278452,28.294397,29.184475,31.736937,32.595684,32.462143,32.4935,28.281317,29.841984,31.737576
Czech Rep.,474.50372,485.27197,486.75656,514.5501,527.8245,519.63196,529.4554,523.70526,513.6187,492.81097,513.649,501.97574,499.4383,490.22104,479.93652,470.7157,464.37378,490.58124,489.02322,477.903,442.56647,466.52344,464.27667
Dem. Rep. Congo,21.329906,20.976192,21.559868,22.436525,25.4304,27.59236,29.11296,29.99664,28.387693,27.774822,30.718761,33.242714,32.71257,39.533257,47.358894,36.523895,33.67955,36.642403,38.71641,39.83934,41.209312,39.40167,39.40167
Denmark,236.51941,237.21649,236.75543,255.23254,241.65175,227.59906,251.56255,238.63371,226.62135,214.57703,227.93806,214.153,199.1922,207.78352,200.00195,194.8213,197.83896,198.83214,196.31111,192.07124,171.1597,188.20612,189.39662
Djibouti,3.533749,3.520617,3.530918,3.6626916,3.562442,3.368781,3.1481004,3.2768269,3.6643205,3.1819425,3.6236532,2.737275,3.611889,3.7283626,4.138329,3.6496913,3.48905,3.1583176,3.3127282,3.059594,2.9453895,3.0790696,3.0790696
